date	2016/1/21
[104]	11.90398088
[105]	11.85405084
[106]	11.84412102
[107]	11.89419143
[108]	11.90426206
[109]	11.97433292
[110]	12.02440401
[111]	11.96447533
[112]	11.87454687
[113]	11.81461865
[114]	11.88469065
[115]	11.97476289
[116]	11.90483535
[117]	11.99490805
[118]	11.82498098
[119]	11.92505415
[120]	11.93512755
[121]	11.96520118
[122]	11.97527505
[123]	11.83534915
[124]	12.0354235
[125]	11.96549808
[126]	11.86557289
[127]	11.85564795
[128]	11.96572324
[129]	11.90579878
[130]	12.00587455
[131]	11.88595057
[132]	11.85602683
[133]	11.91610333
[134]	11.86618008
[135]	11.83625707
[136]	11.90633431
[137]	11.96641179
[138]	11.99648952
[139]	11.87656749
[140]	11.88664571
[141]	11.89672418
[142]	11.9068029
[143]	11.96688187
[144]	11.84696109
[145]	11.84704057
[146]	12.02712029
[147]	12.01720027
[148]	11.93728049
[149]	11.88736098
[150]	11.95744172
[151]	11.96752271
[152]	11.99760396
[153]	11.91768547
[154]	11.88776723
[155]	11.90784926
[156]	11.90793154
[157]	12.01801408
[158]	11.95809689
[159]	11.96817995
[160]	11.99826328
[161]	11.91834687
[162]	11.92843072
[163]	11.87851484
[164]	11.88859922
[165]	11.84868386
[166]	11.89876878
[167]	11.91885396
[168]	11.98893941
[169]	11.95902513
[170]	11.97911111
[171]	11.87919737
[172]	11.8692839
[173]	11.9193707
[174]	11.88945777
[175]	11.94954512
[176]	11.85963274
[177]	11.87972063
[178]	11.8698088
[179]	11.97989724
[180]	11.90998597
[181]	11.95007497
[182]	11.98016424
[183]	11.9202538
[184]	11.83034364
[185]	11.94043376
[186]	11.96052416
[187]	11.96061484
[188]	11.9307058
[189]	11.93079705
[190]	11.90088858
[191]	11.8909804
[192]	11.9210725
[193]	11.9311649
[194]	11.89125757
[195]	11.91135054
[196]	11.8714438
[197]	11.96153734
[198]	11.97163118
[199]	11.90172531
[200]	12.03181973
[201]	11.96191444
[202]	11.99200945
[203]	11.88210475
[204]	11.89220035
[205]	11.95229624
[206]	11.95239243
[207]	11.90248892
[208]	11.86258571
[209]	11.87268279
[210]	11.86278018
[211]	11.91287786
[212]	12.00297585
[213]	11.98307414
[214]	11.91317274
[215]	11.90327164
[216]	11.89337084
[217]	11.87347035
[218]	11.85357017
[219]	11.92367029
[220]	11.85377072
[221]	11.91387146
[222]	11.91397251
[223]	11.95407387
[224]	11.99417554
[225]	11.88427753
[226]	11.88437983
[227]	11.90448244
[228]	11.99458536
[229]	12.0946886
[230]	11.95479216
[231]	11.92489603
[232]	11.91500023
[233]	11.96510474
[234]	11.97520957
[235]	11.96531472
[236]	11.92542019
[237]	11.89552598
[238]	11.9756321
[239]	11.93573854
[240]	11.91584531
[241]	11.9859524
[242]	12.00605981
[243]	11.89616756
[244]	11.89627563
[245]	11.92638403
[246]	12.02649276
[247]	11.86660182
[248]	11.95671121
[249]	11.91682093
[250]	11.95693099
[251]	11.89704137
[252]	11.9271521
[253]	11.97726316
[254]	11.95737455
[255]	11.91748629
[256]	11.94759836
[257]	11.99771076
[258]	11.85782351
[259]	11.9379366
[260]	11.93805003
[261]	11.8581638
[262]	11.85827792
[263]	11.85839238
[264]	11.95850718
[265]	11.90862233
[266]	11.97873783
[267]	11.98885367
[268]	11.85896986
[269]	11.9790864
[270]	11.94920329
[271]	11.93932053
[272]	11.85943812
[273]	11.84955607
[274]	11.96967436
[275]	11.89979301
[276]	11.91991202
[277]	11.99003138
[278]	11.9201511
[279]	12.04027118
[280]	12.00039161
[281]	11.93051241
[282]	11.87063356
[283]	12.03075508
[284]	12.03087695
[285]	11.98099919
[286]	11.8811218
[287]	11.88124476
[288]	12.0613681
[289]	11.9514918
[290]	12.02161586
[291]	11.9317403
[292]	11.9818651
[293]	12.03199028
[294]	11.92211582
[295]	11.90224173
[296]	11.89236802
[297]	11.87249468
[298]	11.93262172
[299]	11.90274913
[300]	11.94287691
[301]	11.92300508
[302]	11.87313362
[303]	12.04326254
[304]	11.88339183
[305]	11.94352151
[306]	11.95365157
[307]	11.95378201
[308]	11.87391284
[309]	11.87404405
[310]	12.01417564
[311]	11.94430762
[312]	11.95443998
[313]	11.92457274
[314]	11.90470588
[315]	11.93483941
[316]	11.89497333
[317]	11.83510764
[318]	11.90524234
[319]	11.90537743
[320]	11.97551292
[321]	11.86564881
[322]	11.88578508
[323]	11.85592176
[324]	11.87605883
[325]	11.9161963
[326]	11.92633417
[327]	11.97647244
[328]	11.99661111
[329]	11.85675018
[330]	11.95688965
[331]	11.93702953
[332]	12.01716981
[333]	11.90731049
[334]	11.95745158
[335]	12.00759308
[336]	11.96773499
[337]	12.02787731
[338]	11.93802003
[339]	11.88816317
[340]	11.93830671
[341]	11.98845067
[342]	11.86859504
[343]	12.01873983
[344]	11.89888503
[345]	11.90903065
[346]	11.88917668
[347]	12.05932313
[348]	11.92947
[349]	11.92961729
[350]	11.999765
[351]	11.95991313
[352]	11.93006169
[353]	11.97021066
[354]	11.92036006
[355]	11.90050989
[356]	12.00066014
[357]	11.88081081
[358]	11.89096192
[359]	11.90111345
[360]	11.96126541
[361]	11.9814178
[362]	11.97157063
[363]	11.96172388
[364]	11.92187757
[365]	11.91203169
[366]	11.81218625
[367]	11.97234124
[368]	11.98249666
[369]	11.87265253
[370]	11.90280883
[371]	11.94296557
[372]	11.90312276
[373]	12.00328038
[374]	12.01343844
[375]	12.00359695
[376]	11.9337559
[377]	11.9139153
[378]	11.85407514
[379]	12.05423542
[380]	12.02439616
[381]	11.95455734
[382]	11.96471897
[383]	12.05488105
[384]	11.93504358
[385]	11.97520656
[386]	11.97536999
[387]	11.94553388
[388]	11.92569822
[389]	11.89586302
[390]	11.82602827
[391]	11.93619398
[392]	12.08636014
[393]	12.04652677
[394]	12.02669385
[395]	12.0568614
[396]	12.0170294
[397]	11.97719787
[398]	11.9473668
[399]	12.03753619
[400]	11.91770605
[401]	11.98787637
[402]	11.94804716
[403]	11.97821842
[404]	11.98839015
[405]	11.95856234
[406]	11.888735
[407]	11.93890814
[408]	11.89908174
[409]	11.93925582
[410]	11.98943037
[411]	11.9696054
[412]	11.9497809
[413]	11.87995688
[414]	11.84013333
[415]	12.00031026
[416]	12.01048767
[417]	11.92066555
[418]	12.03084392
[419]	12.06102277
[420]	11.9812021
[421]	11.98138191
[422]	12.06156221
[423]	11.97174299
[424]	12.05192426
[425]	12.00210601
[426]	12.00228825
[427]	11.98247097
[428]	11.89265419
[429]	11.96283789
[430]	11.93302209
[431]	11.90320677
[432]	11.95339195
[433]	11.96357762
[434]	11.93376378
[435]	11.92395044
[436]	11.96413759
[437]	11.86432524
[438]	11.97451338
[439]	11.95470202
[440]	11.95489116
[441]	11.8850808
[442]	11.98527094
[443]	11.98546158
[444]	11.92565273
[445]	12.03584437
[446]	11.99603652
[447]	11.95622917
[448]	11.96642233
[449]	11.88661599
[450]	11.93681016
[451]	11.89700484
[452]	11.91720002
[453]	11.89739571
[454]	12.01759191
[455]	11.95778863
[456]	11.90798585
[457]	11.96818359
[458]	11.97838184
[459]	11.9585806
[460]	12.00877987
[461]	11.97897967
[462]	11.90917997
[463]	12.0293808
[464]	12.03958214
[465]	11.999784
[466]	11.93998638
[467]	12.00018927
[468]	11.91039269
[469]	12.01059663
[470]	12.01080109
[471]	11.94100608
[472]	11.99121159
[473]	11.99141762
[474]	12.00162417
[475]	12.05183126
[476]	12.04203886
[477]	12.022247
[478]	12.10245566
[479]	11.99266486
[480]	12.01287458
[481]	11.90308483
[482]	11.94329561
[483]	12.11350692
[484]	12.00371877
[485]	11.97393115
[486]	11.93414406
[487]	12.02435751
[488]	11.98457149
[489]	11.894786
[490]	12.00500106
[491]	11.99521665
[492]	12.00543277
[493]	12.01564944
[494]	12.02586665
[495]	12.03608439
[496]	12.01630268
[497]	12.0065215
[498]	12.02674087
[499]	12.03696078
[500]	11.95718124
[501]	12.00740224
[502]	11.98762378
[503]	11.95784587
[504]	11.9080685
[505]	11.88829168
[506]	11.87851541
[507]	11.84873968
[508]	11.93896451
[509]	11.98918988
[510]	12.0394158
[511]	11.95964227
[512]	11.86986929
[513]	11.96009687
[514]	11.98032499
[515]	12.00055367
[516]	11.9107829
[517]	12.01101269
[518]	12.01124303
[519]	12.08147392
[520]	12.08170537
[521]	12.07193738
[522]	11.98216995
[523]	11.96240307
[524]	11.95263675
[525]	11.89287098
[526]	11.95310578
[527]	11.97334114
[528]	12.00357705
[529]	12.02381353
[530]	11.86405057
[531]	11.97428817
[532]	11.89452633
[533]	11.92476506
[534]	11.94500435
[535]	12.0452442
[536]	11.97548462
[537]	12.0057256
[538]	11.99596715
[539]	11.96620927
[540]	11.96645195
[541]	12.06669519
[542]	12.02693901
[543]	12.02718339
[544]	11.89742835
[545]	11.92767387
[546]	12.07791996
[547]	12.07816662
[548]	11.89841385
[549]	12.00866165
[550]	11.89891002
[551]	11.99915897
[552]	12.00940849
[553]	11.91965858
[554]	12.04990924
[555]	12.04016048
[556]	12.02041229
[557]	11.95066467
[558]	11.89091763
[559]	11.96117117
[560]	11.94142528
[561]	11.98167996
[562]	11.98193523
[563]	12.04219107
[564]	12.00244748
[565]	12.01270448
[566]	12.01296205
[567]	12.0532202
[568]	12.03347893
[569]	11.95373824
[570]	11.88399813
[571]	11.9142586
[572]	11.96451964
[573]	12.00478127
[574]	11.96504348
[575]	12.07530627
[576]	11.98556964
[577]	12.08583359
[578]	11.96609813
[579]	11.96636325
[580]	12.02662895
[581]	12.06689523
[582]	12.0171621
[583]	11.91742955
[584]	11.93769758
[585]	12.0879662
[586]	12.0782354
[587]	12.04850518
[588]	12.03877555
[589]	11.95904651
[590]	12.06931805
[591]	12.01959018
[592]	12.11986289
[593]	12.02013619
[594]	12.02041007
[595]	12.09068454
[596]	12.0509596
[597]	12.01123524
[598]	11.91151147
[599]	12.03178829
[600]	11.9320657
[601]	11.98234369
[602]	11.93262227
[603]	11.97290144
[604]	11.89318119
[605]	11.97346153
[606]	11.91374247
[607]	12.02402399
[608]	11.99430609
[609]	12.02458879
[610]	12.08487208
[611]	12.05515595
[612]	12.03544041
[613]	12.01572547
[614]	11.98601111
[615]	11.93629734
[616]	12.01658415
[617]	12.09687156
[618]	11.96715956
[619]	11.95744815
[620]	11.94773732
[621]	11.94802709
[622]	12.07831744
[623]	12.04860839
[624]	11.95889992
[625]	12.02919204
[626]	11.97948475
[627]	11.93977806
[628]	11.94007195
[629]	12.02036643
[630]	11.9706615
[631]	11.89095715
[632]	11.8912534
[633]	11.98155024
[634]	12.11184766
[635]	12.07214568
[636]	11.97244428
[637]	11.96274348
[638]	12.07304326
[639]	12.01334363
[640]	11.95364459
[641]	11.98394613
[642]	12.00424827
[643]	12.02455099
[644]	11.9648543
[645]	12.0451582
[646]	12.03546269
[647]	11.99576776
[648]	12.09607343
[649]	11.99637967
[650]	12.06668651
[651]	12.03699393
[652]	12.05730194
[653]	11.99761054
[654]	12.04791972
[655]	12.05822949
[656]	12.00853984
[657]	12.02885078
[658]	12.0491623
[659]	11.98947441
[660]	11.96978711
[661]	11.88010039
[662]	11.92041425
[663]	12.11072869
[664]	12.07104372
[665]	11.96135934
[666]	12.03167553
[667]	12.04199231
[668]	12.04230967
[669]	11.98262761
[670]	12.03294614
[671]	12.06326524
[672]	11.95358493
[673]	11.9839052
[674]	12.00422604
[675]	11.98454747
[676]	12.08486948
[677]	12.07519206
[678]	12.06551522
[679]	12.13583896
[680]	12.08616328
[681]	12.09648818
[682]	12.03681365
[683]	12.0071397
[684]	11.99746632
[685]	12.09779352
[686]	12.0781213
[687]	12.08844964
[688]	12.07877857
[689]	11.97910806
[690]	11.94943813
[691]	12.01976877
[692]	11.92009998
[693]	11.95043177
[694]	12.02076412
[695]	12.02109704
[696]	12.12143054
[697]	12.0717646
[698]	12.03209923
[699]	12.07243443
[700]	12.02277019
[701]	12.00310652
[702]	11.95344342
[703]	11.95378088
[704]	11.99411891
[705]	11.9144575
[706]	11.93479665
[707]	12.01513637
[708]	12.08547664
[709]	12.04581748
[710]	12.01615888
[711]	12.05650084
[712]	11.98684336
[713]	11.97718643
[714]	12.06753007
[715]	12.06787426
[716]	12.128219
[717]	12.0185643
[718]	12.04891016
[719]	12.06925657
[720]	11.95960353
[721]	12.01995105
[722]	11.99029911
[723]	12.10064773
[724]	12.03099689
[725]	11.99134661
[726]	11.96169687
[727]	12.00204768
[728]	12.08239903
[729]	12.08275093
[730]	12.08310338
[731]	12.03345636
[732]	12.0738099
[733]	12.04416397
[734]	12.14451858
[735]	11.96487373
[736]	12.03522942
[737]	12.13558565
[738]	11.97594242
[739]	12.08629972
[740]	12.02665756
[741]	12.04701593
[742]	11.95737483
[743]	11.98773427
[744]	12.03809424
[745]	11.93845473
[746]	12.05881576
[747]	12.07917731
[748]	12.08953939
[749]	12.109902
[750]	12.06026513
[751]	11.99062878
[752]	12.04099296
[753]	11.98135765
[754]	12.04172287
[755]	12.07208861
[756]	12.10245486
[757]	12.00282163
[758]	12.02318892
[759]	12.06355672
[760]	12.00392503
[761]	12.00429386
[762]	12.10466319
[763]	12.10503304
[764]	12.0254034
[765]	12.08577426
[766]	12.04614563
[767]	11.9765175
[768]	12.08688988
[769]	11.98726275
[770]	12.02763613
[771]	12.10801001
[772]	12.17838439
[773]	12.10875926
[774]	12.02913464
[775]	11.9895105
[776]	11.99988686
[777]	12.07026371
[778]	12.05064105
[779]	12.16101888
[780]	12.03139719
[781]	12.081776
[782]	12.04215528
[783]	12.08253506
[784]	12.16291531
[785]	12.01329604
[786]	12.02367726
[787]	12.10405895
[788]	12.12444112
[789]	12.02482376
[790]	11.99520688
[791]	12.02559046
[792]	12.14597452
[793]	12.12635905
[794]	12.12674405
[795]	12.06712951
[796]	12.03751543
[797]	12.04790182
[798]	12.05828867
[799]	12.13867598
[800]	12.13906375
[801]	12.06945198
[802]	12.06984066
[803]	12.08022979
[804]	11.98061938
[805]	12.00100942
[806]	11.9813999
[807]	12.04179084
[808]	12.08218222
[809]	12.13257404
[810]	12.0029663
[811]	12.01335901
[812]	12.06375215
[813]	11.98414574
[814]	12.07453975
[815]	12.1249342
[816]	12.02532909
[817]	12.1257244
[818]	12.13612014
[819]	12.04651631
[820]	11.95691291
[821]	12.02730993
[822]	12.07770737
[823]	12.10810523
[824]	12.10850351
[825]	12.0589022
[826]	12.10930131
[827]	12.11970084
[828]	12.00010077
[829]	12.04050111
[830]	12.18090186
[831]	12.10130302
[832]	12.14170458
[833]	12.08210654
[834]	12.1325089
[835]	12.03291166
[836]	12.14331482
[837]	12.06371837
[838]	12.10412231
[839]	12.11452665
[840]	12.11493137
[841]	12.15533648
[842]	12.13574197
[843]	12.05614785
[844]	12.08655411
[845]	12.04696075
[846]	12.05736776
[847]	12.01777515
[848]	12.06818291
[849]	12.08859104
[850]	12.09899955
[851]	12.10940842
[852]	12.04981765
[853]	12.05022725
[854]	12.09063721
[855]	12.14104752
[856]	12.1214582
[857]	12.03186923
[858]	12.03228061
[859]	12.01269234
[860]	12.04310442
[861]	12.12351685
[862]	12.07392962
[863]	12.11434274
[864]	12.0747562
[865]	12.10516999
[866]	12.17558412
[867]	12.12599858
[868]	12.19641338
[869]	12.1368285
[870]	12.02724396
[871]	12.18765973
[872]	12.07807583
[873]	12.10849226
[874]	12.088909
[875]	12.15932606
[876]	12.21974343
[877]	11.99016111
[878]	12.12057911
[879]	12.00099741
[880]	12.07141602
[881]	12.15183493
[882]	12.18225414
[883]	12.11267365
[884]	12.07309346
[885]	12.04351356
[886]	12.03393395
[887]	12.09435464
[888]	12.09477561
[889]	12.12519686
[890]	12.0356184
[891]	12.12604022
[892]	12.20646232
[893]	12.0768847
[894]	12.07730734
[895]	12.04773026
[896]	12.07815345
[897]	12.14857691
[898]	12.14900063
[899]	12.09942461
[900]	12.17984885
[901]	12.06027335
[902]	12.1306981
[903]	12.16112311
[904]	12.13154837
[905]	12.03197387
[906]	12.09239962
[907]	12.11282561
[908]	12.15325184
[909]	12.03367832
[910]	12.03410502
[911]	12.08453196
[912]	12.18495914
[913]	12.10538654
[914]	12.05581416
[915]	12.18624201
[916]	12.04667008
[917]	12.14709837
[918]	12.12752688
[919]	12.0879556
[920]	12.10838453
[921]	12.09881367
[922]	12.13924301
[923]	12.11967256
[924]	12.13010232
[925]	12.05053227
[926]	12.06096241
[927]	12.01139275
[928]	12.12182329
[929]	12.04225401
[930]	12.00268491
[931]	11.98311601
[932]	12.17354728
[933]	12.15397873
[934]	12.13441036
[935]	12.12484216
[936]	12.09527413
[937]	12.12570627
[938]	12.12613858
[939]	12.09657105
[940]	12.06700369
[941]	12.04743648
[942]	12.02786942
[943]	12.09830252
[944]	12.17873577
[945]	12.16916917
[946]	12.10960272
[947]	12.1700364
[948]	12.03047023
[949]	12.1409042
[950]	12.1513383
[951]	12.08177253
[952]	12.18220689
[953]	12.10264138
[954]	12.063076
[955]	12.19351074
[956]	12.17394559
[957]	12.23438057
[958]	12.07481566
[959]	12.16525086
[960]	12.14568617
[961]	12.13612158
[962]	12.1665571
[963]	12.07699272
[964]	12.14742844
[965]	12.16786426
[966]	12.13830017
[967]	12.12873617
[968]	12.22917226
[969]	12.15960843
[970]	12.16004469
[971]	12.10048102
[972]	12.12091743
[973]	12.22135392
[974]	12.10179048
[975]	12.22222711
[976]	12.10266381
[977]	12.19310057
[978]	12.12353739
[979]	12.20397427
[980]	12.08441121
[981]	12.0648482
[982]	12.20528524
[983]	12.14572233
[984]	12.11615947
[985]	12.16659665
[986]	12.08703387
[987]	12.16747112
[988]	12.15790841
[989]	12.21834573
[990]	12.19878309
[991]	12.14922047
[992]	12.06965787
[993]	12.09009529
[994]	12.15053274
[995]	12.1509702
[996]	12.16140767
[997]	12.15184515
[998]	12.10228264
[999]	12.23272014
[1000]	12.21315764
[1001]	12.18359514
[1002]	12.08403264
[1003]	12.19447013
[1004]	12.10490761
[1005]	12.14534508
[1006]	12.09578254
[1007]	12.20621999
[1008]	12.18665741
[1009]	12.21709481
[1010]	12.20753219
[1011]	12.14796955
[1012]	12.07840687
[1013]	12.17884416
[1014]	12.24928141
[1015]	12.14971863
[1016]	12.13015581
[1017]	12.08059295
[1018]	12.09103004
[1019]	12.13146708
[1020]	12.11190407
[1021]	12.12234101
[1022]	12.19277789
[1023]	12.20321471
[1024]	12.21365147
[1025]	12.24408817
[1026]	12.2245248
[1027]	12.16496136
[1028]	12.13539785
[1029]	12.23583426
[1030]	12.16627059
[1031]	12.12670685
[1032]	12.19714302
[1033]	12.28757911
[1034]	12.20801511
[1035]	12.18845102
[1036]	12.18888684
[1037]	12.16932256
[1038]	12.08975818
[1039]	12.0401937
[1040]	12.16062911
[1041]	12.17106442
[1042]	12.18149962
[1043]	12.18193471
[1044]	12.25236969
[1045]	12.12280454
[1046]	12.07323928
[1047]	12.2136739
[1048]	12.22410839
[1049]	12.15454275
[1050]	12.09497698
[1051]	12.13541108
[1052]	12.22584505
[1053]	12.18627888
[1054]	12.09671256
[1055]	12.23714611
[1056]	12.23757951
[1057]	12.25801276
[1058]	12.16844586
[1059]	12.1788788
[1060]	12.18931159
[1061]	12.13974423
[1062]	12.1601767
[1063]	12.23060901
[1064]	12.21104115
[1065]	12.10147312
[1066]	12.20190492
[1067]	12.18233655
[1068]	12.202768
[1069]	12.20319927
[1070]	12.19363037
[1071]	12.17406127
[1072]	12.21449199
[1073]	12.18492253
[1074]	12.20535287
[1075]	12.21578301
[1076]	12.17621296
[1077]	12.13664272
[1078]	12.11707227
[1079]	12.24750161
[1080]	12.22793075
[1081]	12.14835968
[1082]	12.1187884
[1083]	12.19921691
[1084]	12.2196452
[1085]	12.22007327
[1086]	12.25050112
[1087]	12.19092874
[1088]	12.16135614
[1089]	12.11178332
[1090]	12.12221026
[1091]	12.27263696
[1092]	12.28306343
[1093]	12.20348967
[1094]	12.23391566
[1095]	12.15434141
[1096]	12.15476691
[1097]	12.10519217
[1098]	12.07561718
[1099]	12.11604193
[1100]	12.06646643
[1101]	12.22689067
[1102]	12.12731465
[1103]	12.17773837
[1104]	12.23816183
[1105]	12.20858502
[1106]	12.25900794
[1107]	12.16943058
[1108]	12.16985296
[1109]	12.12027506
[1110]	12.12069688
[1111]	12.15111842
[1112]	12.22153967
[1113]	12.25196064
[1114]	12.24238133
[1115]	12.27280172
[1116]	12.18322182
[1117]	12.27364163
[1118]	12.21406114
[1119]	12.24448035
[1120]	12.17489926
[1121]	12.14531787
[1122]	12.19573617
[1123]	12.25615417
[1124]	12.18657185
[1125]	12.25698922
[1126]	12.19740628
[1127]	12.20782302
[1128]	12.20823945
[1129]	12.23865555
[1130]	12.22907132
[1131]	12.17948678
[1132]	12.1799019
[1133]	12.1903167
[1134]	12.30073116
[1135]	12.25114529
[1136]	12.08155908
[1137]	12.20197254
[1138]	12.15238566
[1139]	12.23279843
[1140]	12.23321086
[1141]	12.26362294
[1142]	12.23403467
[1143]	12.17444605
[1144]	12.22485708
[1145]	12.21526776
[1146]	12.24567807
[1147]	12.30608803
[1148]	12.26649763
[1149]	12.17690686
[1150]	12.26731573
[1151]	12.26772424
[1152]	12.16813237
[1153]	12.28854013
[1154]	12.28894752
[1155]	12.13935453
[1156]	12.14976117
[1157]	12.28016743
[1158]	12.23057331
[1159]	12.2309788
[1160]	12.15138391
[1161]	12.24178863
[1162]	12.19219297
[1163]	12.13259691
[1164]	12.12300046
[1165]	12.15340362
[1166]	12.15380638
[1167]	12.12420874
[1168]	12.1246107
[1169]	12.30501226
[1170]	12.27541342
[1171]	12.19581417
[1172]	12.19621451
[1173]	12.27661444
[1174]	12.15701397
[1175]	12.21741308
[1176]	12.23781177
[1177]	12.22821005
[1178]	12.22860791
[1179]	12.22900535
[1180]	12.26940237
[1181]	12.18979897
[1182]	12.26019514
[1183]	12.22059088
[1184]	12.30098619
[1185]	12.22138108
[1186]	12.21177553
[1187]	12.14216954
[1188]	12.22256313
[1189]	12.29295627
[1190]	12.27334898
[1191]	12.24374124
[1192]	12.21413306
[1193]	12.20452444
[1194]	12.12491538
[1195]	12.19530586
[1196]	12.1756959
[1197]	12.22608548
[1198]	12.22647462
[1199]	12.3468633
[1200]	12.24725153
[1201]	12.21763929
[1202]	12.26802661
[1203]	12.20841346
[1204]	12.12879985
[1205]	12.16918577
[1206]	12.12957123
[1207]	12.19995623
[1208]	12.27034076
[1209]	12.23072482
[1210]	12.2711084
[1211]	12.25149152
[1212]	12.25187416
[1213]	12.22225633
[1214]	12.17263802
[1215]	12.19301924
[1216]	12.18339997
[1217]	12.24378022
[1218]	12.32416
[1219]	12.20453928
[1220]	12.36491809
[1221]	12.2252964
[1222]	12.26567423
[1223]	12.19605157
[1224]	12.31642842
[1225]	12.29680478
[1226]	12.33718064
[1227]	12.30755602
[1228]	12.25793089
[1229]	12.20830527
[1230]	12.28867915
[1231]	12.30905253
[1232]	12.2794254
[1233]	12.31979778
[1234]	12.30016965
[1235]	12.25054102
[1236]	12.14091188
[1237]	12.22128224
[1238]	12.17165209
[1239]	12.26202142
[1240]	12.30239025
[1241]	12.24275856
[1242]	12.25312636
[1243]	12.30349365
[1244]	12.22386042
[1245]	12.23422667
[1246]	12.25459241
[1247]	12.17495763
[1248]	12.17532232
[1249]	12.2456865
[1250]	12.27605015
[1251]	12.33641328
[1252]	12.23677589
[1253]	12.29713797
[1254]	12.22749952
[1255]	12.19786055
[1256]	12.15822104
[1257]	12.32858101
[1258]	12.35894045
[1259]	12.34929935
[1260]	12.21965772
[1261]	12.27001556
[1262]	12.18037286
[1263]	12.20072963
[1264]	12.35108586
[1265]	12.37144155
[1266]	12.3117967
[1267]	12.31215131
[1268]	12.17250538
[1269]	12.16285892
[1270]	12.2932119
[1271]	12.23356435
[1272]	12.34391625
[1273]	12.3942676
[1274]	12.29461841
[1275]	12.26496867
[1276]	12.33531839
[1277]	12.30566755
[1278]	12.31601617
[1279]	12.27636423
[1280]	12.31671175
[1281]	12.21705871
[1282]	12.29740512
[1283]	12.29775098
[1284]	12.28809628
[1285]	12.27844102
[1286]	12.28878521
[1287]	12.20912885
[1288]	12.33947192
[1289]	12.31981444
[1290]	12.4001564
[1291]	12.2504978
[1292]	12.36083864
[1293]	12.32117891
[1294]	12.32151863
[1295]	12.35185778
[1296]	12.18219637
[1297]	12.1825344
[1298]	12.35287186
[1299]	12.32320876
[1300]	12.20354509
[1301]	12.29388085
[1302]	12.31421605
[1303]	12.36455068
[1304]	12.28488474
[1305]	12.19521824
[1306]	12.27555116
[1307]	12.27588351
[1308]	12.3562153
[1309]	12.27654651
[1310]	12.22687715
[1311]	12.22720722
[1312]	12.29753671
[1313]	12.26786564
[1314]	12.26819398
[1315]	12.32852176
[1316]	12.32884896
[1317]	12.22917558
[1318]	12.37950163
[1319]	12.1998271
[1320]	12.330152
[1321]	12.23047632
[1322]	12.20080006
[1323]	12.38112322
[1324]	12.3014458
[1325]	12.23176781
[1326]	12.27208924
[1327]	12.24241008
[1328]	12.32273035
[1329]	12.25305004
[1330]	12.31336914
[1331]	12.36368767
[1332]	12.30400561
[1333]	12.33432297
[1334]	12.25463975
[1335]	12.31495594
[1336]	12.29527156
[1337]	12.25558659
[1338]	12.29590103
[1339]	12.22621489
[1340]	12.30652817
[1341]	12.28684087
[1342]	12.20715298
[1343]	12.3274645
[1344]	12.27777544
[1345]	12.33808579
[1346]	12.32839556
[1347]	12.22870474
[1348]	12.21901334
[1349]	12.26932135
[1350]	12.23962877
[1351]	12.28993561
[1352]	12.37024185
[1353]	12.36054752
[1354]	12.36085259
[1355]	12.40115708
[1356]	12.30146098
[1357]	12.38176429
[1358]	12.37206701
[1359]	12.21236915
[1360]	12.35267069
